plateifu,mangaid,z,Lambda_Re,lambda_r,Sigma_Re,Re_arcsec_MGE,Qual,drp3qual,target,log_Ms_Re_cyl,log_Mt_Re_cyl,fdm_Re_cyl,chi2_dof_cyl,inc_deg_cyl,log_excess,log_Ms_Re_sph,log_Mt_Re_sph,fdm_Re_sph,chi2_dof_sph,inc_deg_sph,log_excess_sph,nsa_elpetro_mass,PHOTOMETRIC_MASS,STELLAR_SIGMA_1RE,STELLAR_RCHI2_1RE,drp_nsa_elpetro_ba,drp_nsa_elpetro_th50_r,drp_mngtarg1,Re_kpc,rar_resid,rar_resid_sph,rar_resid_nsa,rar_resid_firefly,mass_tertile
8318-12702,1-284329,0.0248379,0.697,0.697,134.4,11.199226206828,1,1,0,10.574,10.742,0.32,0.024596,86.071,0.168000000000001,10.776,10.776,0.0,0.032416,86.82,0.0,10.279470737310174,10.617011,103.08555,0.89140975,0.229407,17.6702,1552,5.796612595750398,0.28097877651888,0.07897877651888005,0.5755080392087062,0.23796777651888013,Mid
8447-3702,1-405213,0.108592,0.113,0.113,266.9,5.842781487103953,1,1,0,11.919,12.187,0.461,0.062029,2.611,0.2679999999999989,11.829,12.031,0.371,0.062183,2.671,0.2019999999999999,11.143654834652498,11.481195,275.14127,1.0065055,0.844342,5.01839,1040,11.977052567656292,0.10387034636896197,0.19387034636896186,0.8792155117164646,0.5416753463689629,High
8448-3702,1-487488,0.0216055,0.771,0.771,66.9,3.2958004720793546,1,1,0,9.608,9.608,0.0,0.058302,72.179,0.0,9.542,9.594,0.113,0.058209,71.954,0.0519999999999996,9.109305128663246,9.446846,54.11031,0.8971465,0.45918,3.92674,1168,1.489707200643983,0.0970698765736925,0.16306987657369332,0.5957647479104469,0.25822387657369233,Low
8601-1902,1-94470,0.0279849,0.18,0.18,165.3,2.2230222048219828,1,1,0,10.333,10.334,0.0,0.019714,85.581,0.0009999999999994,10.33,10.331,0.0,0.022322,85.581,0.0009999999999994,10.00043841606386,10.337979,163.67468,1.4877454,0.730754,3.01969,1168,1.291466693540352,0.2714551269090211,0.27445512690902113,0.6040167108451615,0.2664761269090205,Mid
8325-12703,1-235398,0.0280844,0.707,0.707,128.8,7.869008385292148,1,1,0,10.713,10.713,0.0,0.022086,59.91,0.0,10.719,10.719,0.0,0.021829,59.875,0.0,10.219835914662877,10.557377,108.429504,0.9001876,0.596415,8.44428,1552,4.5872088657939285,0.08425237279495944,0.07825237279495931,0.577416458132082,0.23987537279495802,Mid
8466-3702,1-277965,0.0233599,0.547,0.547,56.3,5.575776129811479,1,1,0,9.53,10.227,0.799,0.031501,31.607,0.697000000000001,8.476,10.133,0.978,0.027827,32.632,1.6569999999999985,9.141932402964509,9.479473,43.99504,0.87601763,0.89853,4.38478,1168,2.719108374371832,0.2566428667549409,1.3106428667549395,0.6447104637904316,0.3071698667549398,Low
8481-3702,1-91582,0.0469388,0.09,0.09,270.1,8.539954743968922,1,1,0,11.39,11.501,0.223,0.0121,85.228,0.1109999999999988,11.387,11.504,0.234,0.014536,85.23,0.1169999999999991,10.972381057004643,11.309921,269.4871,0.890699,0.913868,7.69642,1024,8.133988698283193,0.4467884419880094,0.4497884419880095,0.8644073849833669,0.5268674419880108,High
8482-3702,1-542358,0.0403355,0.547,0.547,119.0,6.7180392362805925,1,1,0,10.741,10.981,0.424,0.018141,26.415,0.2400000000000002,10.733,10.99,0.446,0.018086,26.408,0.2569999999999997,10.572552150562757,10.910092,112.090164,0.9949742,0.927524,4.79564,1040,5.542183583170487,0.16722483226835688,0.17522483226835603,0.33567268170559966,-0.001867167731644003,Mid
8483-3702,1-93706,0.0330797,0.542,0.542,161.3,4.5501707275417225,1,1,0,10.647,10.654,0.014,0.033321,78.554,0.0069999999999996,10.624,10.647,0.05,0.039503,86.56,0.0229999999999996,10.306019496757088,10.64356,151.35176,1.1483275,0.638366,4.70213,1168,3.1055012874767325,0.2705155802363058,0.2935155802363055,0.6114960834792181,0.27395558023630534,Mid
8484-3702,1-94027,0.0326858,0.773,0.773,149.0,4.481147181207208,3,1,0,10.566,10.607,0.089,0.029636,74.947,0.0409999999999985,10.551,10.606,0.118,0.029031,74.911,0.0549999999999997,10.278563841386548,10.616104,124.3276,1.1556915,0.446482,4.95136,1168,3.023410658721454,0.16904115570072767,0.18404115570072832,0.45647731431418037,0.11893715570072841,Mid
8485-3702,1-209198,0.0229679,0.465,0.465,73.8,5.678679772773303,1,1,0,9.919,10.104,0.347,0.030402,46.219,0.1849999999999987,10.1,10.1,0.0,0.027848,46.447,0.0,9.37787061278074,9.715411,65.23445,0.90403235,0.778006,4.9212,1168,2.7241158259768117,0.21058849511603714,0.02958849511603794,0.7517178823352979,0.4141774951160381,Low
8550-3702,1-210961,0.0289444,0.781,0.781,113.5,3.394541868839325,3,1,2,10.121,10.192,0.151,0.020787,83.218,0.0709999999999997,10.11,10.19,0.168,0.022251,84.989,0.08,9.982807888363194,10.320349,95.81817,1.184838,0.42356,4.01939,4288,2.0373105739113586,0.21636189908292006,0.22736189908292095,0.35455401071972653,0.017012899082920162,Low
8551-3702,1-576431,0.0754431,0.111,0.111,203.0,7.192536571975002,1,1,0,11.343,11.364,0.047,0.044442,80.043,0.0210000000000007,11.344,11.366,0.048,0.047471,78.708,0.0220000000000002,10.96209692819736,11.299638,210.6664,0.91781527,0.856517,6.43845,1040,10.645275928302114,0.3967563861301736,0.39575638613017416,0.777659457932814,0.44011838613017373,High
8588-3702,1-95092,0.0301764,0.727,0.727,159.4,6.93821486585786,3,1,0,10.87,10.928,0.124,0.023807,46.155,0.0580000000000016,10.874,10.92,0.102,0.023656,46.256,0.0459999999999993,10.545101675049931,10.882643,133.82353,1.1248815,0.821064,5.02005,1040,4.334907714445866,0.08545373483250558,0.08145373483250422,0.4103520597825735,0.07281073483250491,Mid
8601-3702,1-594520,0.0290501,0.479,0.479,195.2,8.52720066109526,1,1,0,11.025,11.026,0.0,0.02667,72.768,0.0009999999999994,11.025,11.026,0.0,0.016106,75.693,0.0009999999999994,10.447632394010745,10.785173,197.96803,1.1121417,0.68144,5.18866,1040,5.135823811528565,0.3442091548320757,0.3442091548320757,0.9215767608213314,0.5840361548320756,High
8603-3702,1-135157,0.0323713,0.722,0.722,180.9,4.870428870661589,3,1,0,10.817,10.818,0.0,0.035021,77.54,0.0009999999999994,10.758,10.804,0.1,0.030706,77.096,0.0460000000000011,10.31626187528266,10.653803,157.48125,1.0645936,0.518096,4.97032,1168,3.2556743257717833,0.15550757688303132,0.21450757688303237,0.6562457016003719,0.3187045768830315,Mid
8606-3702,1-136248,0.0235624,0.181,0.181,132.5,7.683082966018264,1,1,2,10.465,10.58,0.231,0.022916,68.922,0.1150000000000002,10.489,10.589,0.205,0.02209,68.926,0.0999999999999996,10.202983903671774,10.5405245,130.51466,0.9165883,0.50548,8.0426,4160,3.7783179822711968,0.4090260134656274,0.3850260134656265,0.6710421097938538,0.33350151346562706,Mid
8603-12705,1-135129,0.0327969,0.743,0.743,136.5,6.929091775395006,3,1,0,10.647,10.7,0.115,0.02042,74.911,0.052999999999999,10.594,10.693,0.203,0.018196,74.911,0.0990000000000002,10.4913098555928,10.828851,115.863884,0.94675153,0.503666,7.00506,1040,4.690290195601694,0.21750479530094396,0.2705047953009449,0.37319493970814477,0.03565379530094402,Mid
8549-12701,1-209980,0.0420468,0.732,0.732,162.2,6.280531686949333,1,1,0,11.074,11.257,0.344,0.017617,31.617,0.1829999999999998,11.066,11.255,0.353,0.017791,31.637,0.189,10.411082397210732,10.748623,153.67749,1.2059926,0.777162,3.59933,0,5.38999890146423,0.09621810945412643,0.10421810945412555,0.759135712243394,0.4215951094541261,High
8604-1902,1-211019,0.0303489,0.423,0.423,119.7,1.987198173820284,1,1,2,10.082,10.088,0.013,0.056266,79.878,0.0059999999999984,10.089,10.089,0.0,0.058589,86.222,0.0,9.68883522884905,10.026376,118.46861,1.128867,0.769327,1.81376,4096,1.2484130279872185,0.2269737934576454,0.21997379345764592,0.6201385646085972,0.28259779345764535,Low
